,FECHA,SEMANA,TURNO,HORA DE INICIO,RESPONSABLE,OPERADORES,NUMERO DE PEDIDO,SELL.,NOMBRE DEL PEDIDO,TIPO DE BOLSA,MEDIDA,CALIBRE,GPM (Golpes por minuto),TEMPERATURA DE SELLADO (INFERIOR),TEMPERATURA DE SELLADO (SUPERIOR),PESO/BULTO,KG/DE BOBINA,N° DE BULTOS,PROMEDIO,MILLARES,SERIALIZADO INICIO,SERIALIZADO FIN,PESO DE TROQUEL,MERMA EXTRUSION,CAUSAS EXTRUSION,MER IMPRESIÓN,CAUSAS IMPRESIÓN,IMPRESIÓN  MERMA POR PROCESO,MERMA SELLADO,CAUSAS SELLADO,BOLSA DE 2A,ORIGEN,CUARENTENA,BASURA,MUESTRAS,HORA FINAL,HORAS DE TRABAJO,year,month,day
2356,2019-06-25,26,3.0,12:30:00 a. m.,RESPONSABLE6,OPERADORES13,SAP-2263,SEL008,HTOR-003,TIPODEBOLSA2,19.5X33,150.0,,,,75.0,100.0,3.0,25,0.0,,,0.0,0.0,CAUSASEXTRUSION1,2.0,CAUSASIMPRESIÓN2,,0.93,CAUSASSELLADO1,0.0,,,0.32,0,6:00:00,5.5,2019,6,25
2357,2019-06-25,26,3.0,1:00:00 a. m.,RESPONSABLE6,OPERADORES10,SAP-2237,SEL011,MRHI-001,TIPODEBOLSA2,28X61,200.0,,,,175.84,215.0,11.0,15.99,11.0,1,3000,0.0,0.0,CAUSASEXTRUSION1,1.28,CAUSASIMPRESIÓN1,,0.8,CAUSASSELLADO1,0.0,,,0.46,0.1,6:00:00,5.0,2019,6,25
2358,2019-06-26,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES1,SAP-2215,SEL010,TEPU-004,TIPODEBOLSA2,30X59+6+9,140.0,,,,294.79,301.0,13.0,22.68,19.5,60000,79500,0.0,2.0,CAUSASEXTRUSION2,15.22,CAUSASIMPRESIÓN1,,3.0,CAUSASSELLADO1,0.0,,,0.82,0.12,14:00:00,8.0,2019,6,26
2359,2019-06-26,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES32,SAP-2263,SEL008,HTOR-003,TIPODEBOLSA2,19.5X33,150.0,,,,75.0,48.0,3.0,25,0.0,,,0.0,0.0,CAUSASEXTRUSION1,5.0,CAUSASIMPRESIÓN1,,1.0,CAUSASSELLADO1,0.0,,,0.3,0,14:00:00,8.0,2019,6,26
2360,2019-06-26,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES2,SAP-2237,SEL011,MRHI-001,TIPODEBOLSA2,28X61,200.0,,,,233.99,210.0,14.0,16.71,14.0,12 3G,25 7G,0.0,1.0,CAUSASEXTRUSION3,2.44,CAUSASIMPRESIÓN1,,3.8,CAUSASSELLADO1,0.0,,,0.84,0.14,13:45:00,7.8,2019,6,26
2361,2019-06-26,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES4,SAP-2267,SEL012,HECL-003,TIPODEBOLSA2,28X55+5,180.0,,,,128.3,111.0,5.0,25.66,8.9,73501,82400,0.0,0.0,CAUSASEXTRUSION1,5.65,CAUSASIMPRESIÓN1,,2.71,CAUSASSELLADO1,0.0,,,0.36,0.13,11:00:00,5.0,2019,6,26
2362,2019-06-26,26,1.0,12:00:00 p. m.,RESPONSABLE1,OPERADORES4,SAP-2265,SEL012,HECL-001,TIPODEBOLSA2,20.5X33.5+3,140.0,,,,25.11,58.0,1.0,25.11,5.0,1,5000,0.0,0.0,CAUSASEXTRUSION1,0.0,CAUSASIMPRESIÓN4,,0.62,CAUSASSELLADO1,0.0,,,0.05,0.05,14:00:00,2.0,2019,6,26
2363,2019-06-26,26,2.0,2:00:00 p. m.,RESPONSABLE2,OPERADORES8,SAP-2263,SEL008,HTOR-003,TIPODEBOLSA2,19.5X33,150.0,,,,100.0,91.0,4.0,25,0.0,,,0.0,0.0,CAUSASEXTRUSION1,2.84,CAUSASIMPRESIÓN1,,0.04,CAUSASSELLADO1,0.0,,,0.22,0.04,22:00:00,8.0,2019,6,26
2364,2019-06-26,26,2.0,2:00:00 p. m.,RESPONSABLE2,OPERADORES5,SAP-2215,SEL010,TEPU-004,TIPODEBOLSA2,30X59+6+9,140.0,,,,316.35,306.0,14.0,22.6,21.0,79501,100500,0.0,0.0,CAUSASEXTRUSION1,4.0,CAUSASIMPRESIÓN1,,3.1,CAUSASSELLADO1,0.0,,,0.5,0.12,22:00:00,8.0,2019,6,26
2365,2019-06-26,26,2.0,2:00:00 p. m.,RESPONSABLE2,OPERADORES11,SAP-2237,SEL011,MRHI-001,TIPODEBOLSA2,28X61,200.0,,,,239.22,241.0,15.0,15.95,15.0,1001,4000,0.0,0.0,CAUSASEXTRUSION1,4.19,CAUSASIMPRESIÓN1,,0.0,CAUSASSELLADO2,0.0,,,0.17,0.11,22:00:00,8.0,2019,6,26
